"url","title","mrp","price","discount","isbn13","isbn10","binding","coverImage"
"https://www.snapdeal.com/product/mathematics-for-class-6-cbse/628131829304","Mathematics for Class 6 - CBSE - by R.S. Aggarwal Examination 2022-2023 Paperback by R.S. Aggarwal","N/A","","","9788177099829","8177099829","Paperback","https://n2.sdlcdn.com/imgs/k/j/n/Mathematics-for-Class-6-CBSE-SDL956737218-1-4ebbc.jpg"
"https://www.snapdeal.com/product/mathematics-for-class-6-cbse/650946576906","Mathematics for Class 6 - CBSE - by R.S. Aggarwal Examination 2022-2023 Paperback by R.S. Aggarwal","N/A","","","9788177099829","8177099829","Paperback","https://n3.sdlcdn.com/imgs/k/j/n/Mathematics-for-Class-6-CBSE-SDL289499351-1-ab6d8.jpg"
"https://www.snapdeal.com/product/bharati-bhawan-cbse-r-s/662939008753","BHARATI BHAWAN CBSE R S AGGARWAL MATHEMATICS CLASS 12","N/A","","","9789350271247","9350271247","Paperback","https://n1.sdlcdn.com/imgs/j/a/l/BHARATI-BHAWAN-CBSE-R-S-SDL521852162-1-19c25.jpeg"
"https://www.snapdeal.com/product/secondary-school-mathematics-for-class/680992053846","Secondary School Mathematics for Class 10 - CBSE - by R.S. Aggarwal Examination","N/A","","","9789388704519","9388704519","Paperback","https://n2.sdlcdn.com/imgs/k/n/1/Secondary-School-Mathematics-for-Class-SDL322721355-1-1e814.jpeg"
"https://www.snapdeal.com/product/rs-aggarwal-senior-secondary-school/686112480824","R.S. Aggarwal Senior Secondary School Mathematics For Class 9th (2018-19 Edition) (Paperback, R.S.Aggarwal)","N/A","","","","","Paperback","https://n1.sdlcdn.com/imgs/i/f/f/R-S-Aggarwal-Senior-Secondary-SDL197923931-1-44518.jpg"
"https://www.snapdeal.com/product/mathematics-6th-rs-aggarwal/657788397860","Mathematics for Class 6 by R S Aggarwal - 2019","N/A","290","","N/A","N/A","N/A","https://n1.sdlcdn.com/imgs/h/4/e/NewDoc2019_01_3015_16_10_1-c2891.jpg"
"https://www.snapdeal.com/product/mathematics-for-class-8-by/640145849045","Mathematics for Class 8 by R S Aggarwal - 2019","N/A","246","","9789350271759","9350271753","Paperback","https://n1.sdlcdn.com/imgs/h/4/e/NewDoc2019_01_3015_34_54_1-99c6d.jpg"
"https://www.snapdeal.com/product/mathematics-for-class-7-by/656381999806","Mathematics for Class 7 by R S Aggarwal (2018-19 Session)","N/A","","","9788177099850","9788177099","Paperback","https://n4.sdlcdn.com/imgs/g/1/j/Mathematics-for-Class-7-by-SDL795663606-1-0a168.jpg"
"https://www.snapdeal.com/product/mathematics-class-7-paperback-english/621506591992","Mathematics for Class-VII by R.S. Aggarwal - 2019","N/A","238","","N/A","N/A","N/A","https://n1.sdlcdn.com/imgs/i/g/6/9788177099850-1c301.jpg"
"https://www.snapdeal.com/product/secondary-school-mathematics-for-class/683196633707","Secondary School Mathematics For Class 10 By R S Aggarwal (2018-19 Session)","N/A","","","9789350271810","9789350271","N/A","https://n1.sdlcdn.com/imgs/g/1/j/Secondary-School-Mathematics-For-Class-SDL830568810-1-897b6.jpg"
"https://www.snapdeal.com/product/secondary-school-mathematics-for-class/681060241149","Secondary School Mathematics for Class 10 - CBSE by R.S. Aggarwal Examination 2022-2023 Paperback by R.S. Aggarwal and V Aggarwal","N/A","","","9789388704519","9789388704519","Paperback","https://n2.sdlcdn.com/imgs/k/f/g/Secondary-School-Mathematics-for-Class-SDL509919874-1-d6f22.jpg"
"https://www.snapdeal.com/product/mathematics-for-class-8-cbse/619132482163","Mathematics for Class 8 - CBSE - by R.S. Aggarwal Examination","N/A","","","978-9350271759","9350271753","Paperback","https://n3.sdlcdn.com/imgs/k/u/z/Mathematics-for-Class-8-CBSE-SDL231699674-1-20377.jpg"
