PRICE,MRP,DISCOUNT,CONDITION,SELLER,SELLER_ID,ASIN,SELLER_LISTING_LINK
₹599.00,Unavailable,,"Used 
                    - Very Good",Radhe RadheEnterprise,A2CVSTQQAVZV32,8195645704,https://www.amazon.in/gp/product/8195645704?smid=A2CVSTQQAVZV32&psc=1
₹500.00,₹520.00,-4%,New,Mittal Book Distributors,A38HF4LV2KF5HJ,8195645704,https://www.amazon.in/gp/product/8195645704?smid=A38HF4LV2KF5HJ&psc=1
400.,₹499.00,-20%,,MANAV BOOK POINTS (drop box),A3OO9LW00PHNY,8195645739,
₹387.00,Unavailable,,"Used 
                    - Like New","Garg Brothers, Prayagraj",A18GJ6ZCVXO3II,8195645739,https://www.amazon.in/gp/product/8195645739?smid=A18GJ6ZCVXO3II&psc=1
₹318.00,₹499.00,-36%,New,KOSAL BOOK,A2EJZF1APFFMZZ,8195645739,https://www.amazon.in/gp/product/8195645739?smid=A2EJZF1APFFMZZ&psc=1
₹358.00,₹499.00,-28%,New,PERFECT Solution,A7LV430YHIGDM,8195645739,https://www.amazon.in/gp/product/8195645739?smid=A7LV430YHIGDM&psc=1
₹440.00,₹520.00,-15%,New,S P Bhawan,A1VHGABSI0YAAQ,8195645739,https://www.amazon.in/gp/product/8195645739?smid=A1VHGABSI0YAAQ&psc=1
₹420.00,₹495.00,-15%,New,Global Writers,A3U66FYP1G261N,8195645739,https://www.amazon.in/gp/product/8195645739?smid=A3U66FYP1G261N&psc=1
₹499.00,Unavailable,,New,Competition books hub,A2Z4X04OCUVFJZ,8195645739,https://www.amazon.in/gp/product/8195645739?smid=A2Z4X04OCUVFJZ&psc=1
₹499.00,Unavailable,,New,COMPETITIVE EXAM BOOKS HUB,AD9JRDGHNFLQV,8195645739,https://www.amazon.in/gp/product/8195645739?smid=AD9JRDGHNFLQV&psc=1
520.,Unavailable,,,Cocoblu Retail (drop box),A1WYWER0W24N8S,B0CYHCM9YF,
299.,₹399.00,-25%,,Cocoblu Retail (drop box),A1WYWER0W24N8S,819564578X,
