Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating
"Oswaal CBSE Question Bank Class 12 Applied Mathematics Hardcover Book, Chapterwise and Topicwise Solved Papers For Board Exams 2025",9789359585406,https://www.flipkart.com/oswaal-cbse-question-bank-class-12-applied-mathematics-hardcover-book-chapterwise-topicwise-solved-papers-board-exams-2025/p/itm71a928da2d583?pid=9789359585406,https://rukminim2.flixcart.com/image/612/612/xif0q/book/c/4/w/cbse-question-bank-class-11-applied-mathematics-chapterwise-and-original-imagy3hdz6mtuh9t.jpeg?q=70,"₹1,246","₹1,399",10% off,"Hardcover, Oswaal Editorial Board",
"Oswaal CBSE Question Bank Class 12 Applied Mathematics, Chapterwise and Topicwise Solved Papers For Board Exams 2025",9789359588476,https://www.flipkart.com/oswaal-cbse-question-bank-class-12-applied-mathematics-chapterwise-topicwise-solved-papers-board-exams-2025/p/itm06149cab20b7f?pid=9789359588476,https://rukminim2.flixcart.com/image/612/612/xif0q/book/c/4/w/cbse-question-bank-class-11-applied-mathematics-chapterwise-and-original-imagy3hdz6mtuh9t.jpeg?q=70,₹674,₹699,3% off,"English, Paperback, Oswaal Editorial Board",4.3
Elements of Applied Mathematics For Class XII,9789380896991,https://www.flipkart.com/elements-applied-mathematics-class-xii/p/itm95c141e17908e?pid=9789380896991,https://rukminim2.flixcart.com/image/612/612/xif0q/book/6/e/g/elements-of-applied-mathematics-for-class-xii-original-imagz26bjguphfbv.jpeg?q=70,₹775,,,"Paperback, M. L. Bhargava, Deepak Arora",4.4
Apc Solutions to Applied Mathematics Class-XII  - Apc Solutions to Applied Mathematics Class-XII M L Aggarwal,9789394792661,https://www.flipkart.com/apc-solutions-applied-mathematics-class-xii-m-l-aggarwal/p/itmd4ce225bcd2f6?pid=9789394792661,https://rukminim2.flixcart.com/image/612/612/xif0q/book/y/d/l/solutions-to-applied-mathematics-xii-original-imagzyqaxzkg8vxe.jpeg?q=70,₹760,₹850,10% off,"Paperback, M L Aggarwal, Neeraj Raj Jain",5
Applied Mathematics with MCQs in Applied Mathematics for Class 12 - Examination 2023-2024 by R.D SHARMA,9789394417977,https://www.flipkart.com/applied-mathematics-mcqs-class-12-examination-2023-2024-r-d-sharma/p/itm7ba3c40425b64?pid=9789394417977,https://rukminim2.flixcart.com/image/612/612/xif0q/book/c/i/f/applied-mathematics-with-mcqs-in-applied-mathematics-for-class-original-imagzw47ft5whvaw.jpeg?q=70,₹995,,,"Paperback, R.D SHARMA",
Std 12 Science Electronics Paper - I & II ( Applied And Digital Electronics) | HSC Bifocal Science Maharashtra Board | Includes 10 Previous Years Board Question With Solutions | Course Code : C-2 | Set Of 2 Books,RBKGS7G6EZGDGMK5,https://www.flipkart.com/std-12-science-electronics-paper-ii-applied-digital-electronics-hsc-bifocal-maharashtra-board-includes-10-previous-years-question-solutions-course-code-c-2-set-2-books/p/itm211fddabad0e0?pid=RBKGS7G6EZGDGMK5,https://rukminim2.flixcart.com/image/612/612/xif0q/regionalbooks/o/u/3/std-12-science-electronics-paper-i-ii-applied-and-digital-original-imahfja3yzcummr5.jpeg?q=70,₹400,₹430,6% off,"Paperback, Tech Neo Publications",3.7
"All In One Applied Mathematics CBSE Class 12 Based On Latest NCERT For CBSE Exams 2025 | Mind map | All type of Questions, MCQs, Extract Based, VSA, SA & LA",9789359981024,https://www.flipkart.com/all-one-applied-mathematics-cbse-class-12-based-latest-ncert-exams-2025-mind-map-type-questions-mcqs-extract-based-vsa-sa-la/p/itm12299d461e26f?pid=9789359981024,https://rukminim2.flixcart.com/image/612/612/xif0q/book/m/q/5/-original-imahyhdkvk55dgnn.jpeg?q=70,₹425,,,"Paperback, Laxman Prasad, Brijesh Dwevedi",4.7
Supplement Applied Mathematics Class 12 (2021-22),RBKG6TPVAWZZDQR3,https://www.flipkart.com/supplement-applied-mathematics-class-12-2021-22/p/itmc300edf127466?pid=RBKG6TPVAWZZDQR3,https://rukminim2.flixcart.com/image/612/612/kthjy4w0/regionalbooks/5/x/z/supplement-applied-mathematics-class-12-2021-22-original-imag6tpvcxhfyy9f.jpeg?q=70,₹29,₹45,35% off,"Paperback, Dhanpat Rai Publications Pvt. Ltd",
"PW CBSE Class 12 Applied Mathematics CBSE Theoretical Concepts, Formulae, Question Bank and PYQs l CBSE 2024",9789360345976,https://www.flipkart.com/pw-cbse-class-12-applied-mathematics-theoretical-concepts-formulae-question-bank-pyqs-l-2024/p/itm8d74150ebabac?pid=9789360345976,https://rukminim2.flixcart.com/image/612/612/xif0q/book/u/o/s/pw-cbse-class-12-applied-mathematics-cbse-theoretical-concepts-original-imahfvgqxuzavzvy.jpeg?q=70,₹449,,,"Paperback, pw experts",
Arihant CBSE Sample Question Paper Class 12 Applied Mathematics Book For 2024 Board Exam,9789358894561,https://www.flipkart.com/arihant-cbse-sample-question-paper-class-12-applied-mathematics-book-2024-board-exam/p/itm818326486457a?pid=9789358894561,https://rukminim2.flixcart.com/image/612/612/xif0q/book/t/w/x/arihant-cbse-sample-question-paper-class-12-applied-mathematics-original-imagsqdbhrsgppmk.jpeg?q=70,₹250,,,"Paperback, Laxman Prasad",4.5
