"price","mrp","discount","condition","seller","sellerID","ASIN","SellerListingLink"
"89.","Unavailable","","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9354635156",
"₹80.00","₹89.00","-10%","New","Book Zone India","A39HNXMA6S5QLF","9354635156","https://www.amazon.in/gp/product/9354635156?smid=A39HNXMA6S5QLF&psc=1"
"₹78.00","₹89.00","-12%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9354635156","https://www.amazon.in/gp/product/9354635156?smid=A3DM1FLUKA6IGQ&psc=1"
"₹159.00","Unavailable","","New","R R BOOK STALL","A1GY9C30S2WNDQ","9354635156","https://www.amazon.in/gp/product/9354635156?smid=A1GY9C30S2WNDQ&psc=1"
"248.","Unavailable","","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9362398893",
"₹239.00","₹249.00","-4%","New","Batheja Books","A2QUCPKK3GH5NC","9362398893","https://www.amazon.in/gp/product/9362398893?smid=A2QUCPKK3GH5NC&psc=1"
"₹239.00","₹249.00","-4%","New","Book Zone India","A39HNXMA6S5QLF","9362398893","https://www.amazon.in/gp/product/9362398893?smid=A39HNXMA6S5QLF&psc=1"
"₹249.00","Unavailable","","New","Cocoblu Retail","A1WYWER0W24N8S","9362398893","https://www.amazon.in/gp/product/9362398893?smid=A1WYWER0W24N8S&psc=1"
"₹249.00","Unavailable","","New","The Book Masters","A1HSME87SANYHJ","9362398893","https://www.amazon.in/gp/product/9362398893?smid=A1HSME87SANYHJ&psc=1"
"₹249.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9362398893","https://www.amazon.in/gp/product/9362398893?smid=A3PS9PW8IUPJAO&psc=1"
"617.","₹799.00","-23%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9355958455",
"₹730.00","₹799.00","-9%","New","Repro Books-On-Demand","A15DBATYR506U3","9355958455","https://www.amazon.in/gp/product/9355958455?smid=A15DBATYR506U3&psc=1"
"₹799.00","Unavailable","","New","Mittal Books India","A1YW7K5MZRMS1M","9355958455","https://www.amazon.in/gp/product/9355958455?smid=A1YW7K5MZRMS1M&psc=1"
"232.","₹259.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9359589160",
"₹231.00","₹259.00","-11%","New","Batheja Books","A2QUCPKK3GH5NC","9359589160","https://www.amazon.in/gp/product/9359589160?smid=A2QUCPKK3GH5NC&psc=1"
"₹206.00","₹259.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359589160","https://www.amazon.in/gp/product/9359589160?smid=A3DM1FLUKA6IGQ&psc=1"
"₹245.00","₹259.00","-5%","New","Repro Books-On-Demand","A15DBATYR506U3","9359589160","https://www.amazon.in/gp/product/9359589160?smid=A15DBATYR506U3&psc=1"
"₹259.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359589160","https://www.amazon.in/gp/product/9359589160?smid=A3PS9PW8IUPJAO&psc=1"
"₹259.00","Unavailable","","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359589160","https://www.amazon.in/gp/product/9359589160?smid=A1RT8ZLNSAVMGC&psc=1"
"₹299.00","Unavailable","","New","R R BOOK STALL","A1GY9C30S2WNDQ","9359589160","https://www.amazon.in/gp/product/9359589160?smid=A1GY9C30S2WNDQ&psc=1"
"268.","₹299.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9359589349",
"₹238.00","₹299.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9359589349","https://www.amazon.in/gp/product/9359589349?smid=A3DM1FLUKA6IGQ&psc=1"
"₹276.00","₹299.00","-8%","New","Repro Books-On-Demand","A15DBATYR506U3","9359589349","https://www.amazon.in/gp/product/9359589349?smid=A15DBATYR506U3&psc=1"
"₹299.00","Unavailable","","New","Mehrotra Book & Stationery Agency","A1RT8ZLNSAVMGC","9359589349","https://www.amazon.in/gp/product/9359589349?smid=A1RT8ZLNSAVMGC&psc=1"
"₹299.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9359589349","https://www.amazon.in/gp/product/9359589349?smid=A3PS9PW8IUPJAO&psc=1"
"666.","₹799.00","-17%","New","Repro Books-On-Demand(drop box)","A15DBATYR506U3","9357287299",
"₹636.00","₹799.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9357287299","https://www.amazon.in/gp/product/9357287299?smid=A3DM1FLUKA6IGQ&psc=1"
"₹716.00","₹799.00","-10%","New","BOOKBUZZ","A187XCOY9IUIAD","9357287299","https://www.amazon.in/gp/product/9357287299?smid=A187XCOY9IUIAD&psc=1"
"₹716.00","₹799.00","-10%","New","Cocoblu Retail","A1WYWER0W24N8S","9357287299","https://www.amazon.in/gp/product/9357287299?smid=A1WYWER0W24N8S&psc=1"
"₹799.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9357287299","https://www.amazon.in/gp/product/9357287299?smid=A3PS9PW8IUPJAO&psc=1"
"190.","₹199.00","-5%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9389510554",
"₹159.00","₹199.00","-20%","New","Panchsheel Books","A3DM1FLUKA6IGQ","9389510554","https://www.amazon.in/gp/product/9389510554?smid=A3DM1FLUKA6IGQ&psc=1"
"₹249.00","₹265.00","-6%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9389510554","https://www.amazon.in/gp/product/9389510554?smid=A1GY9C30S2WNDQ&psc=1"
"3,130.","₹3,496","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9362397838",
"₹3120.00","₹3496.00","-11%","New","R R BOOK STALL","A1GY9C30S2WNDQ","9362397838","https://www.amazon.in/gp/product/9362397838?smid=A1GY9C30S2WNDQ&psc=1"
"₹3199.00","₹3496.00","-8%","New","The Book Masters","A1HSME87SANYHJ","9362397838","https://www.amazon.in/gp/product/9362397838?smid=A1HSME87SANYHJ&psc=1"
"₹3496.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9362397838","https://www.amazon.in/gp/product/9362397838?smid=A3PS9PW8IUPJAO&psc=1"
"677.","₹798.00","-15%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9362398648",
"₹674.00","₹798.00","-16%","New","Repro Books-On-Demand","A15DBATYR506U3","9362398648","https://www.amazon.in/gp/product/9362398648?smid=A15DBATYR506U3&psc=1"
"₹798.00","Unavailable","","New","Oswaal Books and Learning Private Limited","A3PS9PW8IUPJAO","9362398648","https://www.amazon.in/gp/product/9362398648?smid=A3PS9PW8IUPJAO&psc=1"
"268.","₹299.00","-10%","New","Cocoblu Retail(drop box)","A1WYWER0W24N8S","9359588652",
