"price","mrp","discount","condition","seller","sellerID","ASIN","SellerListingLink"
"₹590.00","Unavailable","","New","Lets _Read","AF86PJ4RNVT1N","B0CJ5M5QMM","https://www.amazon.in/gp/product/B0CJ5M5QMM?smid=AF86PJ4RNVT1N&psc=1"
"499.","₹760.00","-34%","New","Pinnacle Publications(drop box)","A7KIKBRDOMGAJ","B0CV45PQLP",
"","Unavailable","","","(drop box)",,"B0D9BYYL3S",
"585.","₹292.50","-19%","New","S P Bhawan           New Seller(drop box)","A1VHGABSI0YAAQ","B0D7SG6QJN",
"494.","Unavailable","","New","S P Bhawan           New Seller(drop box)","A1VHGABSI0YAAQ","B0DFPW4FJS",
"₹520.00","Unavailable","","New","MANAV BOOK POINTS","A3OO9LW00PHNY","B0DFPW4FJS","https://www.amazon.in/gp/product/B0DFPW4FJS?smid=A3OO9LW00PHNY&psc=1"
"₹579.00","₹599.00","-3%","New","Pushpa enterprisesm","AQFJL9KREB6JL","B0DFPW4FJS","https://www.amazon.in/gp/product/B0DFPW4FJS?smid=AQFJL9KREB6JL&psc=1"
"₹649.00","₹799.00","-19%","New","Nihira 360","A3Q5H6NPAZ31XN","B0DFPW4FJS","https://www.amazon.in/gp/product/B0DFPW4FJS?smid=A3Q5H6NPAZ31XN&psc=1"
"₹649.00","₹699.00","-7%","New","Vashista 360","A5KE14ZDO9HKW","B0DFPW4FJS","https://www.amazon.in/gp/product/B0DFPW4FJS?smid=A5KE14ZDO9HKW&psc=1"
"₹550.00","₹650.00","-15%","New","S P Bhawan","A1VHGABSI0YAAQ","B0DFPW4FJS","https://www.amazon.in/gp/product/B0DFPW4FJS?smid=A1VHGABSI0YAAQ&psc=1"
"494.","Unavailable","","New","S P Bhawan           New Seller(drop box)","A1VHGABSI0YAAQ","B0CY564S9J",
"₹520.00","Unavailable","","New","MANAV BOOK POINTS","A3OO9LW00PHNY","B0CY564S9J","https://www.amazon.in/gp/product/B0CY564S9J?smid=A3OO9LW00PHNY&psc=1"
"₹579.00","₹599.00","-3%","New","Pushpa enterprisesm","AQFJL9KREB6JL","B0CY564S9J","https://www.amazon.in/gp/product/B0CY564S9J?smid=AQFJL9KREB6JL&psc=1"
"₹649.00","₹799.00","-19%","New","Nihira 360","A3Q5H6NPAZ31XN","B0CY564S9J","https://www.amazon.in/gp/product/B0CY564S9J?smid=A3Q5H6NPAZ31XN&psc=1"
"₹649.00","₹699.00","-7%","New","Vashista 360","A5KE14ZDO9HKW","B0CY564S9J","https://www.amazon.in/gp/product/B0CY564S9J?smid=A5KE14ZDO9HKW&psc=1"
"₹550.00","₹650.00","-15%","New","S P Bhawan","A1VHGABSI0YAAQ","B0CY564S9J","https://www.amazon.in/gp/product/B0CY564S9J?smid=A1VHGABSI0YAAQ&psc=1"
