Title,ISBN,Source,Cover,Price,MRP,Discount,Format,Rating

Oswaal NCERT Workbook Mathematics (Math Magic) Class 4 (For Latest Exam),9789354635533,https://www.flipkart.com/oswaal-ncert-workbook-mathematics-math-magic-class-4-for-latest-exam/p/itme63c228853c2a?pid=9789354635533,https://rukminim2.flixcart.com/image/612/612/kvsfhjk0/book/d/6/l/oswaal-ncert-workbook-mathematics-math-magic-class-4-for-latest-original-imag8mf6pgryzghz.jpeg?q=70,₹179,₹199,10% off,"Paperback, Oswaal Editorial Board",2.7
Ncert Workbook Class 3 Mathematics,9789354635076,https://www.flipkart.com/ncert-workbook-class-3-mathematics/p/itm42b05393ee823?pid=9789354635076,https://rukminim2.flixcart.com/image/612/612/kulk9zk0/book/o/l/3/oswaal-ncert-workbook-with-teacher-s-manual-mathematics-math-original-imag7zz76adftyrs.jpeg?q=70,₹223,₹249,10% off,"English, Paperback, unknown",4.4
Oswaal NCERT Workbook English (Marigold) Class 4 (For Latest Exam),9789354635649,https://www.flipkart.com/oswaal-ncert-workbook-english-marigold-class-4-for-latest-exam/p/itme09cddc6f2614?pid=9789354635649,https://rukminim2.flixcart.com/image/612/612/kxjav0w0/book/m/s/x/oswaal-ncert-workbook-english-marigold-class-4-for-latest-exam-original-imag9yvdywdvcdzh.jpeg?q=70,₹113,₹119,5% off,"Paperback, Oswaal Editorial Board",4.2
