title,isbn,coverImage,price,mrp,rating,author,binding,url
"Class 6th Basic Science & Our World Then And Now Combo Pack 2022  (paperpack, Sagrika)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/1/s/h/class-6th-basic-science-our-world-then-and-now-combo-pack-2022-original-imagkk7fqmc2ddh7.jpeg?q=70&crop=false",680,740,"4","Sagrika","paperpack","https://www.flipkart.com/class-6th-basic-science-our-world-then-now-combo-pack-2022/p/itm86049271d5bce"
"Class 8th Basic Science & R D Sharma Mathematics In New Editions 2022  (paperpack, Amarnath Mishra)","","https://rukminim2.flixcart.com/image/416/416/l0r1j0w0/regionalbooks/1/q/k/class-8th-basic-science-r-d-sharma-mathematics-in-new-editions-original-imagchfecnrwx5gw.jpeg?q=70&crop=false",905,"","554","Amarnath Mishra","paperpack","https://www.flipkart.com/class-8th-basic-science-r-d-sharma-mathematics-new-editions-2022/p/itmf6dce9d39dc43"
"Foundation Science Physics HC Verma  (Paperback, HC Verma)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/k/h/z/foundation-science-physics-hc-verma-original-imaggn7dbty6ytc2.jpeg?q=70&crop=false","","","","HC Verma","Paperback","https://www.flipkart.com/foundation-science-physics-hc-verma/p/itm93adf464fb7a5"
"Foundation Science: Physics For Class 9 (English, Paperback, H C Verma)  (peparback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/regionalbooks/x/r/z/foundation-science-physics-for-class-9-english-paperback-h-c-original-imaepz4t4hfhpzcw.jpeg?q=70&crop=false",264,268,"4.4","H C Verma","peparback","https://www.flipkart.com/foundation-science-physics-class-9-english-paperback-h-c-verma/p/itmeq75gpurvma8w"
"Foundation Science Physics For Class 10 - CBSE - by H C Verma - Examination 2023-2024 2023 Edition  (English, Paperback, Verma H C)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/b/f/x/-original-imagzjn77uchqxyz.jpeg?q=70&crop=false",273,"","4.54.54.44.4","","","https://www.flipkart.com/foundation-science-physics-class-10-cbse-h-c-verma-examination-2023-2024-2023/p/itm6ef805024c674"
"Foundation Science Physics Class - 9  (Paperback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/j4hc5u80/regionalbooks/p/s/g/foundation-science-physics-class-9-original-imaesf4gmfxef9jj.jpeg?q=70&crop=false","","","","H C Verma","Paperback","https://www.flipkart.com/foundation-science-physics-class-9/p/itmevdvykxvzpgxt"
"Foundation Science Physics Class - 10 H C VERMA  (Paperback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/kqpj4i80/regionalbooks/4/w/8/foundation-science-physics-class-10-h-c-verma-original-imag4nszbmjet9ng.jpeg?q=70&crop=false",283,287,"4.4","H C Verma","Paperback","https://www.flipkart.com/foundation-science-physics-class-10-h-c-verma/p/itm95ecb43976613"
"Foundation Science Physics For Class 9 - CBSE - by H C Verma - Examination 2023-2024 Third Edition  (English, Paperback, Verma H C)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/8/2/q/-original-imagzjn7burq5jsn.jpeg?q=70&crop=false",273,"","4.44.44.4","","","https://www.flipkart.com/foundation-science/p/itm431de3cccfda2"
"Foundation Science Physics For Class 10  (Paperback, H C VERMA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/w/n/z/foundation-science-physics-for-class-10-original-imagjbr6ucrtbawb.jpeg?q=70&crop=false",160,175,"5","H C VERMA","Paperback","https://www.flipkart.com/foundation-science-physics-class-10/p/itme64eae165a474"
"Foundation Science Physics Class - 10 (Paperback, H C VERMA)  (Paperback, H C VERMA)","","https://rukminim2.flixcart.com/image/416/416/l08gsy80/regionalbooks/n/z/b/foundation-science-physics-class-10-paperback-h-c-verma-original-imagc25ayrf6thyh.jpeg?q=70&crop=false",295,"","4.4","H C VERMA","Paperback","https://www.flipkart.com/foundation-science-physics-class-10-paperback-h-c-verma/p/itm92fdfe93e889d"
"Foundation Science Physics For Class 9 By H.C Verma Examination 2022-23  (Paperback, Hc verma)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/o/g/x/foundation-science-physics-for-class-9-by-h-c-verma-examination-original-imagmfjfpc8yed4e.jpeg?q=70&crop=false",349,"","4.3","Hc verma","Paperback","https://www.flipkart.com/foundation-science-physics-class-9-h-c-verma-examination-2022-23/p/itmefceb3fb44874"
"Foundation Science Physics Class - 10  (Paperback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/j4hc5u80/regionalbooks/j/e/g/foundation-science-physics-class-10-original-imaev82hwfpayvd3.jpeg?q=70&crop=false","","","","H C Verma","Paperback","https://www.flipkart.com/foundation-science-physics-class-10/p/itmesd32eszvpggk"
"Foundation Science Physics For Class 9 By HC Verma Latest Edition 9 (2022)  (Paperback, H C Verma)","","https://rukminim2.flixcart.com/image/416/416/l3q7jww0/regionalbooks/s/j/k/foundation-science-physics-for-class-9-by-hc-verma-latest-original-images6heggghpsc.jpeg?q=70&crop=false","","","","H C Verma","Paperback","https://www.flipkart.com/foundation-science-physics-class-9-hc-verma-latest-2022/p/itm7ac0e8cb89983"
"Foundation Science Physics For Class 10 - CBSE - by H C Verma - Examination 2023-2024 2023 Edition  (English, Paperback, Verma H C)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/b/f/x/-original-imagzjn77uchqxyz.jpeg?q=70&crop=false",273,"","4.54.54.44.4","","","https://www.flipkart.com/foundation-science-physics-class-10-pb-english/p/itmd32rakbyjzdqw"
"Harish Chandra Verma
 
Foundation Science Physics For Class 9 - CBSE - by H C Verma - Examination 2023-2024  (Paperback, HC Verma)","","https://rukminim2.flixcart.com/image/416/416/xif0q/book/y/i/v/harish-chandra-verma-foundation-science-physics-for-class-9-cbse-original-imahfzhp5a4u8fcr.jpeg?q=70&crop=false",450,"","2.62.64.4","","","https://www.flipkart.com/harish-chandra-verma-foundation-science-physics-class-9-cbse-h-c-examination-2023-2024/p/itm23eed584dea4c"
"Foundation Science Physics Class 10th (H C VARMA) In English MEDIUM Paperback  (Paperback, H C VARMA)","","https://rukminim2.flixcart.com/image/416/416/kxkqavk0/regionalbooks/j/7/j/foundation-science-physics-class-10th-h-c-varma-in-english-original-imagay9znu9jz9ah.jpeg?q=70&crop=false","","","","H C VARMA","Paperback","https://www.flipkart.com/foundation-science-physics-class-10th-h-c-varma-english-medium-paperback/p/itm4c39fe2f39f36"
"Foundation Science Physics Chemistry And Biology Combo By Bharti Bhawan  (Paperpack, AK Singh, LC Saha, HC Verma)","","https://rukminim2.flixcart.com/image/416/416/kkcwo7k0/regionalbooks/l/s/r/foundation-science-physics-chemistry-and-biology-combo-by-bharti-original-imafzpvuhwwygd2c.jpeg?q=70&crop=false","","","","AK Singh, LC Saha, HC Verma","Paperpack","https://www.flipkart.com/foundation-science-physics-chemistry-biology-combo-bharti-bhawan/p/itm70f2b60d778ba"
"Foundation Science Physics For Class 9  (Paperback, H C VERMA)","","https://rukminim2.flixcart.com/image/416/416/xif0q/regionalbooks/l/s/h/foundation-science-physics-for-class-9-original-imagjbrasbqsrk7h.jpeg?q=70&crop=false",130,166,"","H C VERMA","Paperback","https://www.flipkart.com/foundation-science-physics-class-9/p/itm6df116e967d04"
"Hindi Reader 0  (English, Undefined, Rani Rati)","","https://rukminim2.flixcart.com/image/416/416/k0cqqvk0/book/1/9/2/hindi-reader-0-original-imafk6ej2dbhzz7b.jpeg?q=70&crop=false","","","","","","https://www.flipkart.com/hindi-reader-0/p/itme1c4364528b01"
"Hindi Reader 1  (English, Undefined, Rani Rati)","","https://rukminim2.flixcart.com/image/416/416/k0cqqvk0/book/2/0/8/hindi-reader-1-original-imafk6edsvs7dmdr.jpeg?q=70&crop=false","","","","","","https://www.flipkart.com/hindi-reader-1/p/itme1bbba7d213c7"
"Hindi Reader 2  (English, Undefined, Rani Rati)","","https://rukminim2.flixcart.com/image/416/416/k0cqqvk0/book/2/1/5/hindi-reader-2-original-imafk6bffkh6trgh.jpeg?q=70&crop=false",99,"","4.4","","","https://www.flipkart.com/hindi-reader-2/p/itm227c00b65607c"
"Hindi Reader 3  (English, Undefined, Rani Rati)","","https://rukminim2.flixcart.com/image/416/416/jzn0tjk0/book/2/2/2/hindi-reader-3-original-imafjhfvv2dcchg8.jpeg?q=70&crop=false","","","","","","https://www.flipkart.com/hindi-reader-3/p/itmff8c86f69e7ac"
"Hindi Reader 4  (English, Undefined, Rani Rati)","","https://rukminim2.flixcart.com/image/416/416/jzlldow0/book/2/3/9/hindi-reader-4-original-imafjk8bhbhgxrqb.jpeg?q=70&crop=false",127,136,"","","","https://www.flipkart.com/hindi-reader-4/p/itm14d475f39dc74"
"Hindi Reader 5  (English, Undefined, Rani Rati)","","https://rukminim2.flixcart.com/image/416/416/k5cs87k0/book/2/7/7/hindi-reader-5-original-imafzfuzr2f8fuau.jpeg?q=70&crop=false","","","","","","https://www.flipkart.com/hindi-reader-5/p/itmdyufkfqyrm2md"
"Junior Maths 2  (English, Undefined, Gupta Asit Das)","","https://rukminim2.flixcart.com/image/416/416/jzn0tjk0/book/3/3/1/junior-maths-2-original-imafjhf5hv8hrx8j.jpeg?q=70&crop=false","","","","","","https://www.flipkart.com/junior-maths-2/p/itm3df9c0a852ed2"
"Junior Maths - 1  (Paperback, ASIT DAS GUPTA)","","https://rukminim2.flixcart.com/image/416/416/kkr72q80/regionalbooks/o/f/p/junior-maths-1-original-imagyyvyzgyrdgfg.jpeg?q=70&crop=false","","","","ASIT DAS GUPTA","Paperback","https://www.flipkart.com/junior-maths-1/p/itm0446259f4621a"
